profile,runs,pdr_avg,latency_avg_ms,nrl_avg,nrl_control_avg,energy_avg_mj
hop_only,32,0.424375,216.04,21.68190215625,10.15589078125,1543.05
hybrid_default,32,0.404375,232.889125,22.79520234375,10.481766562499999,1729.725
hybrid_rssi_bias,32,0.3971875,197.6318125,25.07974290625,12.36357321875,1721.9625
